Frequency list: Lemma frequencies in entire "AP: comments, Telegraph"
__________________

Number	Lemma	Frequency
347	speak	444
348	while	444
349	exactly	443
350	within	442
351	history	441
352	purpose	441
353	suggest	441
354	indeed	438
355	oppose	438
356	friend	436
357	etc	432
358	policy	432
359	poll	432
360	today	432
361	father	431
362	priest	431
363	kind	430
364	favour	429
365	pass	428
366	whatever	428
367	freedom	427
368	lead	426
369	rest	426
370	democracy	425
371	member	425
372	hope	424
373	order	424
374	hear	422
375	clearly	420
376	choice	419
377	meaning	419
378	decide	418
379	help	418
380	big	417
381	appear	415
382	election	414
383	destroy	413
384	stand	413
385	mother	409
386	partner	407
387	ceremony	406
388	certainly	406
389	bigot	404
390	define	404
391	female	402
392	maybe	401
393	discrimination	400
394	together	399
395	until	399
396	politician	397
397	result	394
398	david	392
399	england	392
400	wonder	392
401	lie	391
402	benefit	388
403	important	388
404	turn	386
405	include	385
406	truth	384
407	adult	382
408	sin	381
409	personal	380
410	doubt	379
411	subject	379
412	longer	378
413	clear	377
414	2	375
415	prove	372
416	bishop	371
417	kid	371
418	mr	371
419	high	370
420	sort	369
421	article	367
422	mention	367
423	small	367
424	pay	365
425	hand	364
426	individual	359
427	rule	359
428	position	358
429	everything	357
430	house	357
431	nor	357
432	correct	356
433	nt	356
434	&	355
435	ago	354
436	community	354
437	value	351
438	anyway	350
439	expect	350
440	mp	349
441	attempt	347
442	explain	347
443	sorry	346
444	wedding	344
445	raise	343
446	common	342
447	recognise	342
448	century	341
449	itself	341
450	often	340
451	likely	339
452	abuse	338
453	deny	338
454	disagree	338
455	nonsense	338
456	respect	338
457	side	338
458	future	337
459	interest	337
460	set	337
461	million	336
462	upon	336
463	job	334
464	better	333
465	christianity	333
466	face	333
467	book	332
468	argue	331
469	referendum	331
470	adultery	330
471	provide	330
472	remain	330
473	win	330
474	animal	328
475	surely	327
476	head	326
477	opposite	326
478	concept	325
479	demand	325
480	fail	325
481	thought	325
482	require	324
483	behaviour	322
484	business	322
485	full	322
486	open	322
487	pretty	322
488	simple	322
489	fear	321
490	nation	320
491	traditional	320
492	affect	319
493	apply	319
494	sign	318
495	unless	318
496	christ	317
497	1	315
498	otherwise	315
499	obviously	314
500	regard	313
501	deal	311
502	system	311
503	general	310
504	control	309
505	death	309
506	reality	309
507	activity	307
508	merely	306
509	tax	302
510	teach	302
511	born	301
512	continue	301
513	ground	301
514	ignore	301
515	seek	301
516	push	299
517	left	297
518	consent	296
519	culture	296
520	generation	296
521	class	295
522	dave	294
523	lesbian	294
524	husband	293
525	possible	293
526	large	292
527	refuse	292
528	remember	292
529	atheist	291
530	instead	291
531	contract	290
532	involve	290
533	run	290
534	hard	287
535	present	287
536	agenda	286
537	practice	286
538	break	285
539	sound	285
540	treat	283
541	poor	282
542	lawful	281
543	line	281
544	minister	280
545	effect	279
546	particular	279
547	eye	277
548	almost	276
549	although	276
550	'marriage'	275
551	carry	275
552	stupid	275
553	towards	275
554	leader	274
555	sexuality	272
556	redefine	270
557	single	270
558	absolutely	269
559	being	269
560	enter	268
561	remove	267
562	thank	267
563	among	266
564	dan	266
565	fall	265
566	assume	264
567	link	264
568	refer	264
569	certain	263
570	completely	263
571	fine	263
572	soon	263
573	three	263
574	produce	262
575	black	260
576	nobody	260
577	above	259
578	experience	258
579	play	258
580	politics	258
581	current	256
582	die	256
583	brother	255
584	desire	255
585	home	252
586	offer	252
587	forget	251
588	past	251
589	europe	249
590	along	248
591	principle	248
592	bigotry	247
593	entirely	247
594	neither	247
595	shall	247
596	totally	247
597	citizen	246
598	immigration	246
599	none	246
600	manifesto	245
601	modern	245
602	white	245
603	court	243
604	except	241
605	grow	241
606	join	241
607	earth	240
608	especially	239
609	money	239
610	represent	239
611	thanks	239
612	fair	238
613	queen	238
614	response	238
615	status	238
616	lack	237
617	evil	236
618	describe	235
619	incest	235
620	late	235
621	ok	235
622	basis	234
623	voter	234
624	interesting	233
625	object	233
626	type	233
627	learn	232
628	statement	232
629	second	231
630	reply	230
631	boy	229
632	homophobic	229
633	study	229
634	according	228
635	express	228
636	homophobia	228
637	prevent	228
638	english	227
639	realise	227
640	thousand	227
641	slavery	226
642	fight	223
643	teaching	223
644	enjoy	222
645	procreation	222
646	used	222
647	wait	222
648	bother	221
649	kill	221
650	nice	221
651	attitude	219
652	blog	219
653	tebbit	219
654	imagine	218
655	promote	218
656	behind	217
657	supporter	217
658	adopt	215
659	piece	215
660	prejudice	215
661	commitment	214
662	dog	214
663	outside	214
664	pretend	214
665	protect	214
666	consequence	213
667	logic	213
668	share	213
669	spend	213
670	suspect	213
671	irrelevant	212
672	meet	211
673	impose	209
674	obvious	209
675	including	208
676	roman	208
677	level	207
678	genetic	206
679	lobby	206
680	harm	205
681	rate	205
682	body	204
683	race	204
684	hatred	202
685	perform	202
686	service	202
687	silly	202
688	cultural	201
689	hardly	201
690	conduct	200
691	holy	200
692	seriously	200
693	similar	200
694	consummation	199
695	discriminate	199
696	war	199
697	beyond	198
698	democratic	198
699	action	197
700	chance	197
701	dear	197
702	himself	197
703	opposition	197
704	personally	197
705	rape	197
706	attack	196
707	concerned	196
708	lifestyle	196
709	situation	196
710	concern	195
711	miss	195
712	secular	195
713	western	195
714	commit	193
715	guess	193
716	quote	193
717	3	192
718	alone	192
719	currently	192
720	rational	192
721	close	191
722	legally	191
723	perfectly	191
724	hell	190
725	plan	189
726	several	189
727	stick	189
728	4	188
729	fit	188
730	yours	188
731	equally	187
732	introduce	187
733	process	187
734	avoid	186
735	regardless	186
736	watch	186
737	ban	185
738	basic	185
739	honest	185
740	illegal	185
741	report	185
742	role	185
743	easy	184
744	note	184
745	son	184
746	special	184
747	step	184
748	throw	184
749	admit	183
750	authority	183
751	baby	183
752	particularly	183
753	figure	182
754	drive	181
755	islam	181
756	medium	181
757	moment	181
758	myself	181
759	species	181
760	story	181
761	strong	181
762	worry	181
763	education	180
764	language	180
765	means	180
766	office	180
767	lords	179
768	thus	179
769	measure	178
770	serious	178
771	condition	177
772	decision	177
773	electorate	177
774	local	177
775	stay	177
776	telegraph	177
777	tradition	177
778	engage	175
779	forward	175
780	separate	175
781	interested	174
782	suppose	174
783	self	173
784	stuff	173
785	valid	173
786	whilst	173
787	private	172
788	suffer	172
789	meaningless	171
790	anglican	170
791	legalise	170
792	national	170
793	serve	170
794	truly	170
795	discussion	169
796	european	169
797	folk	169
798	murder	169
799	news	169
800	police	168
801	whose	168
802	campaign	167
803	difficult	167
804	notice	167
805	fool	166
806	mass	166
807	non	166
808	prime	166
809	american	165
810	complete	165
811	discuss	165
812	further	165
813	half	165
814	orientation	165
815	understanding	165
816	compare	164
817	eat	164
818	sad	164
819	context	163
820	main	163
821	celebrate	162
822	coalition	162
823	slave	162
824	add	161
825	design	161
826	address	160
827	c	160
828	girl	160
829	intercourse	160
830	proposal	160
831	specific	160
832	usually	160
833	abolish	159
834	anti	159
835	apart	159
836	conscience	159
837	despite	158
838	list	158
839	--	157
840	demonstrate	157
841	dt	157
842	nasty	157
843	science	157
844	standard	157
845	birth	156
846	theory	156
847	undermine	156
848	wide	156
849	false	155
850	necessary	155
851	worth	155
852	challenge	154
853	decade	154
854	idiot	154
855	letter	154
856	occur	154
857	recent	154
858	apparently	153
859	possibly	153
860	speech	153
861	suit	153
862	ancient	152
863	encourage	152
864	major	152
865	night	152
866	reduce	152
867	sometimes	152
868	suicide	152
869	count	151
870	listen	151
871	bbc	149
872	rubbish	149
873	total	149
874	5	148
875	judge	148
876	morality	148
877	promise	148
878	save	148
879	short	148
880	area	147
881	build	147
882	consenting	147
883	daughter	147
884	fundamental	147
885	impact	147
886	ordinary	147
887	reject	147
888	acceptable	146
889	generally	146
890	street	146
891	trust	146
892	waste	146
893	begin	145
894	bigoted	145
895	crime	145
896	low	145
897	record	145
898	whatsoever	145
899	dead	144
900	fred	144
901	insult	144
902	research	144
903	sister	144
904	exclude	143
905	influence	143
906	knowledge	143
907	popular	143
908	vast	143
909	advocate	142
910	opportunity	142
911	polygamy	142
912	ridiculous	142
913	blair	141
914	heart	141
915	homophobe	141
916	wing	141
917	adoption	140
918	belong	140
919	guy	140
920	identity	140
921	justify	140
922	light	140
923	property	140
924	reference	140
925	sick	140
926	cost	139
927	laugh	139
928	pick	139
929	pope	139
930	proper	139
931	third	139
932	across	138
933	funny	138
934	insist	138
935	recently	138
936	early	137
937	health	137
938	joke	137
939	mine	137
940	prefer	137
941	somehow	137
942	trouble	137
943	best	136
944	economy	136
945	supposed	136
946	extend	135
947	intend	135
948	racist	135
949	relevant	135
950	ritual	135
951	actual	134
952	biological	134
953	clegg	134
954	declare	134
955	huge	134
956	manage	134
957	physical	134
958	10	133
959	due	133
960	excuse	133
961	gain	133
962	jew	133
963	middle	133
964	activist	132
965	pm	132
966	thread	132
967	afraid	131
968	cut	131
969	disgusting	131
970	draw	131
971	logical	131
972	original	131
973	gene	130
974	ignorance	130
975	john	130
976	socialist	130
977	wear	130
978	bear	129
979	buy	129
980	loving	129
981	offensive	129
982	pc	129
983	sit	129
984	strange	129
985	voice	129
986	ability	128
987	anybody	128
988	attention	128
989	door	128
990	elite	128
991	everybody	128
992	lots	128
993	marriage'	128
994	marxist	128
995	welcome	128
996	abortion	127
997	cover	127
998	e	127
999	evolution	127
1000	feeling	127
1001	london	127
1002	mandate	127
1003	mistake	127
1004	per	127
1005	condemn	126
1006	usual	126
1007	week	126
1008	existence	125
1009	hetero	125
1010	conclusion	124
1011	paul	124
1012	protection	124
1013	tend	124
1014	thinking	124
1015	worship	124
1016	available	123
1017	fully	123
1018	hundred	123
1019	message	123
1020	politically	123
1021	abolition	122
1022	creation	122
1023	legislate	122
1024	peter	122
1025	relate	122
1026	risk	122
1027	send	122
1028	stable	122
1029	touch	122
1030	unable	122
1031	=	121
1032	amount	121
1033	during	121
1034	land	121
1035	plenty	121
1036	press	121
1037	progressive	121
1038	amongst	120
1039	anal	120
1040	expression	120
1041	no-one	120
1042	regarding	120
1043	shame	120
1044	tiny	120
1045	unnatural	120
1046	walk	120
1047	approve	119
1048	contrary	119
1049	focus	119
1050	imply	119
1051	pathetic	119
1052	propaganda	119
1053	teacher	119
1054	threat	119
1055	tom	119
1056	aware	118
1057	given	118
1058	increase	118
1059	opponent	118
1060	permit	118
1061	receive	118
1062	t	118
1063	us	118
1064	6	117
1065	event	117
1066	ignorant	117
1067	page	117
1068	relation	117
1069	representative	117
1070	requirement	117
1071	soul	117
1072	tolerance	117
1073	unfortunately	117
1074	damage	116
1075	defend	116
1076	farage	116
1077	hang	116
1078	mosque	116
1079	norm	116
1080	objection	116
1081	paper	116
1082	arrangement	115
1083	disease	115
1084	doctrine	115
1085	notion	115
1086	organisation	115
1087	proof	115
1088	propose	115
1089	repeat	115
1090	rise	115
1091	achieve	114
1092	dislike	114
1093	i.e.	114
1094	impossible	114
1095	intention	114
1096	section	114
1097	sell	114
1098	yeah	114
1099	''	113
1100	conspiracy	113
1101	fellow	113
1102	game	113
1103	lol	113
1104	mark	113
1105	ten	113
1106	utterly	113
1107	ah	112
1108	finally	112
1109	perversion	112
1110	reflect	112
1111	throughout	112
1112	check	111
1113	establish	111
1114	mental	111
1115	progress	111
1116	alter	110
1117	biblical	110
1118	blame	110
1119	former	110
1120	hodges	110
1121	naturally	110
1122	option	110
1123	paedophilia	110
1124	testament	110
1125	bully	109
1126	city	109
1127	confuse	109
1128	direct	109
1129	document	109
1130	elect	109
1131	energy	109
1132	sodomy	109
1133	absurd	108
1134	image	108
1135	remind	108
1136	sensible	108
1137	topic	108
1138	bet	107
1139	clergy	107
1140	immigrant	107
1141	return	107
1142	cross	106
1143	entire	106
1144	fun	106
1145	later	106
1146	odd	106
1147	various	106
1148	approach	105
1149	decent	105
1150	deeply	105
1151	depend	105
1152	error	105
1153	grant	105
1154	irrational	105
1155	official	105
1156	perfect	105
1157	previous	105
1158	ensure	104
1159	front	104
1160	nearly	104
1161	petition	104
1162	'gay	103
1163	2010	103
1164	capable	103
1165	determine	103
1166	dictate	103
1167	etc.	103
1168	france	103
1169	greek	103
1170	reform	103
1171	affair	102
1172	decline	102
1173	destruction	102
1174	historical	102
1175	invent	102
1176	reasonable	102
1177	water	102
1178	west	102
1179	access	101
1180	establishment	101
1181	humanity	101
1182	replace	101
1183	surprised	101
1184	top	101
1185	bless	100
1186	colour	100
1187	deserve	100
1188	eh	100
1189	environment	100
1190	judgement	100
1191	mps	100
1192	presumably	100
1193	reach	100
1194	tolerant	100
1195	unlike	100
1196	aspect	99
1197	beat	99
1198	council	99
1199	dangerous	99
1200	enact	99
1201	victim	99
1202	brain	98
1203	consultation	98
1204	diversity	98
1205	entitle	98
1206	movement	98
1207	ought	98
1208	outcome	98
1209	recognition	98
1210	red	98
1211	respond	98
1212	ssm	98
1213	alternative	97
1214	construct	97
1215	dare	97
1216	heaven	97
1217	hence	97
1218	james	97
1219	lady	97
1220	objective	97
1221	possibility	97
1222	precisely	97
1223	reveal	97
1224	source	97
1225	'the	96
1226	assertion	96
1227	b	96
1228	highly	96
1229	round	96
1230	sadly	96
1231	surprise	96
1232	troll	96
1233	version	96
1234	bed	95
1235	french	95
1236	guardian	95
1237	register	95
1238	sexually	95
1239	spouse	95
1240	upset	95
1241	consummate	94
1242	damn	94
1243	eventually	94
1244	excellent	94
1245	hypocrisy	94
1246	kiss	94
1247	leadership	94
1248	month	94
1249	scripture	94
1250	stone	94
1251	threaten	94
1252	utter	94
1253	willing	94
1254	*	93
1255	america	93
1256	bunch	93
1257	civilisation	93
1258	cofe	93
1259	function	93
1260	matrimony	93
1261	relative	93
1262	sake	93
1263	specifically	93
1264	whereas	93
1265	below	92
1266	duty	92
1267	equivalent	92
1268	hurt	92
1269	voting	92
1270	reproduce	91
1271	account	90
1272	anti-gay	90
1273	deliberately	90
1274	elsewhere	90
1275	genuine	90
1276	latter	90
1277	lawyer	90
1278	massive	90
1279	mess	90
1280	near	90
1281	oath	90
1282	persecute	90
1283	protest	90
1284	club	89
1285	date	89
1286	deep	89
1287	disgust	89
1288	evolve	89
1289	happily	89
1290	healthy	89
1291	islamic	89
1292	label	89
1293	necessarily	89
1294	reaction	89
1295	treatment	89
1296	2015	88
1297	extreme	88
1298	largely	88
1299	lefty	88
1300	maintain	88
1301	offend	88
1302	onto	88
1303	pressure	88
1304	reader	88
1305	recommend	88
1306	spirit	88
1307	yesterday	88
1308	/	87
1309	absolute	87
1310	author	87
1311	echr	87
1312	four	87
1313	hour	87
1314	legitimate	87
1315	parliamentary	87
1316	reproduction	87
1317	rite	87
1318	significant	87
1319	site	87
1320	witness	87
1321	archbishop	86
1322	criminal	86
1323	daily	86
1324	exclusively	86
1325	food	86
1326	homo	86
1327	horse	86
1328	ill	86
1329	inequality	86
1330	jewish	86
1331	liberty	86
1332	mad	86
1333	mate	86
1334	planet	86
1335	preach	86
1336	prepare	86
1337	sl	86
1338	st	86
1339	tolerate	86
1340	v	86
1341	vile	86
1342	8	85
1343	advantage	85
1344	appeal	85
1345	attend	85
1346	fairly	85
1347	glad	85
1348	hit	85
1349	hitler	85
1350	involved	85
1351	mostly	85
1352	s	85
1353	selfish	85
1354	westminster	85
1355	wonderful	85
1356	canada	84
1357	committed	84
1358	compulsory	84
1359	contempt	84
1360	economic	84
1361	engineering	84
1362	gospel	84
1363	hiv	84
1364	internet	84
1365	manner	84
1366	mrs	84
1367	proposed	84
1368	rights	84
1369	strongly	84
1370	un	84
1371	useful	84
1372	detail	83
1373	discover	83
1374	effort	83
1375	enforce	83
1376	lib	83
1377	membership	83
1378	paedophile	83
1379	priority	83
1380	vow	83
1381	abomination	82
1382	accuse	82
1383	bisexual	82
1384	building	82
1385	catch	82
1386	er	82
1387	fascist	82
1388	offspring	82
1389	period	82
1390	recognize	82
1391	survive	82
1392	test	82
1393	via	82
1394	50	81
1395	abandon	81
1396	ad	81
1397	aim	81
1398	aside	81
1399	attract	81
1400	complain	81
1401	corrupt	81
1402	easily	81
1403	foot	81
1404	identify	81
1405	ideology	81
1406	immoral	81
1407	instance	81
1408	living	81
1409	mere	81
1410	phil	81
1411	scientific	81
1412	seat	81
1413	sir	81
1414	solution	81
1415	ahead	80
1416	cast	80
1417	circumstance	80
1418	information	80
1419	intelligent	80
1420	limit	80
1421	mankind	80
1422	medical	80
1423	plain	80
1424	positive	80
1425	pr	80
1426	queer	80
1427	reading	80
1428	sentence	80
1429	behave	79
1430	called	79
1431	content	79
1432	explanation	79
1433	final	79
1434	five	79
1435	responsibility	79
1436	sinful	79
1437	assumption	78
1438	beginning	78
1439	bloody	78
1440	breed	78
1441	forbid	78
1442	libertarian	78
1443	nick	78
1444	pink	78
1445	pleasure	78
1446	sacrifice	78
1447	sanction	78
1448	socially	78
1449	suddenly	78
1450	tv	78
1451	commons	77
1452	ourselves	77
1453	plus	77
1454	pro	77
1455	repeal	77
1456	shut	77
1457	south	77
1458	advance	76
1459	bar	76
1460	battle	76
1461	blood	76
1462	christmas	76
1463	contain	76
1464	definitely	76
1465	geoffrey	76
1466	george	76
1467	increasingly	76
1468	indicate	76
1469	inheritance	76
1470	minute	76
1471	morally	76
1472	mouth	76
1473	obsessed	76
1474	segregation	76
1475	split	76
1476	terms	76
1477	unit	76
1478	vicar	76
1479	assert	75
1480	conflict	75
1481	devil	75
1482	dress	75
1483	foreign	75
1484	fuss	75
1485	ha	75
1486	irony	75
1487	kick	75
1488	master	75
1489	nose	75
1490	violence	75
1491	'equality'	74
1492	7	74
1493	acceptance	74
1494	car	74
1495	centre	74
1496	churches	74
1497	crap	74
1498	display	74
1499	enemy	74
1500	failure	74
1501	fidelity	74
1502	fill	74
1503	lgbt	74
1504	negative	74
1505	okay	74
1506	phrase	74
1507	protestant	74
1508	rome	74
1509	so-called	74
1510	stonewall	74
1511	thou	74
1512	website	74
1513	wise	74
1514	//www.youtube.com/watch	73
1515	brown	73
1516	cartimandua	73
1517	edit	73
1518	fault	73
1519	govern	73
1520	registry	73
1521	safe	73
1522	sky	73
1523	slope	73
1524	somewhere	73
1525	suggestion	73
1526	tatchell	73
1527	universal	73
1528	unlikely	73
1529	appropriate	72
1530	badly	72
1531	bloke	72
1532	cant	72
1533	confirm	72
1534	denomination	72
1535	drug	72
1536	extremely	72
1537	hide	72
1538	interpretation	72
1539	obligation	72
1540	partnerships	72
1541	procreate	72
1542	pub	72
1543	publish	72
1544	racism	72
1545	redefinition	72
1546	somewhat	72
1547	taboo	72
1548	wake	72
1549	weak	72
1550	30	71
1551	basically	71
1552	block	71
1553	charge	71
1554	dream	71
1555	exercise	71
1556	forever	71
1557	independent	71
1558	justice	71
1559	likewise	71
1560	morning	71
1561	neighbour	71
1562	preference	71
1563	proud	71
1564	purely	71
1565	reverse	71
1566	rich	71
1567	40	70
1568	central	70
1569	character	70
1570	comparison	70
1571	core	70
1572	data	70
1573	factor	70
1574	faithful	70
1575	key	70
1576	liblabcon	70
1577	march	70
1578	obsession	70
1579	offence	70
1580	openly	70
1581	pray	70
1582	stance	70
1583	thy	70
1584	aid	69
1585	associate	69
1586	bnp	69
1587	constantly	69
1588	dem	69
1589	disorder	69
1590	fire	69
1591	im	69
1592	load	69
1593	nhs	69
1594	path	69
1595	radical	69
1596	royal	69
1597	shout	69
1598	style	69
1599	worthy	69
1600	20	68
1601	60	68
1602	anywhere	68
1603	billion	68
1604	box	68
1605	capital	68
1606	direction	68
1607	dismiss	68
1608	established	68
1609	incapable	68
1610	interfere	68
1611	luck	68
1612	mr.	68
1613	newspaper	68
1614	nope	68
1615	overwhelming	68
1616	physically	68
1617	previously	68
1618	privilege	68
1619	registrar	68
1620	responsible	68
1621	room	68
1622	sight	68
1623	sodom	68
1624	working	68
1625	awful	67
1626	bond	67
1627	brussels	67
1628	clause	67
1629	constitution	67
1630	develop	67
1631	essentially	67
1632	feature	67
1633	hetrosexual	67
1634	kingdom	67
1635	lay	67
1636	militant	67
1637	norman	67
1638	pointless	67
1639	pride	67
1640	properly	67
1641	road	67
1642	slippery	67
1643	somebody	67
1644	stability	67
1645	struggle	67
1646	unfair	67
1647	victory	67
1648	agreement	66
1649	association	66
1650	blind	66
1651	burn	66
1652	civilised	66
1653	defeat	66
1654	educate	66
1655	fallacy	66
1656	forgive	66
1657	foundation	66
1658	frankly	66
1659	guarantee	66
1660	immediately	66
1661	infertile	66
1662	intolerance	66
1663	intolerant	66
1664	leviticus	66
1665	loss	66
1666	mainstream	66
1667	philosophy	66
1668	phobia	66
1669	sheep	66
1670	spain	66
1671	ultimately	66
1672	africa	65
1673	biology	65
1674	constitute	65
1675	dad	65
1676	divine	65
1677	fairness	65
1678	following	65
1679	genuinely	65
1680	importance	65
1681	incestuous	65
1682	intellectual	65
1683	minor	65
1684	multiple	65
1685	nigel	65
1686	powerful	65
1687	premise	65
1688	price	65
1689	prison	65
1690	socialism	65
1691	sunday	65
1692	unaltered	65
1693	wisdom	65
1694	acknowledge	64
1695	and/or	64
1696	believer	64
1697	bizarre	64
1698	boundary	64
1699	broad	64
1700	distinction	64
1701	king	64
1702	mix	64
1703	observe	64
1704	prophet	64
1705	pull	64
1706	punishment	64
1707	render	64
1708	root	64
1709	sacrament	64
1710	sinner	64
1711	slightly	64
1712	am	63
1713	carti	63
1714	clever	63
1715	collapse	63
1716	company	63
1717	element	63
1718	embrace	63
1719	employ	63
1720	essential	63
1721	ie	63
1722	method	63
1723	pain	63
1724	percentage	63
1725	rc	63
1726	rely	63
1727	sleep	63
1728	trade	63
1729	typical	63
1730	united	63
1731	usa	63
1732	weird	63
1733	accurate	62
1734	alive	62
1735	arrogant	62
1736	blessing	62
1737	category	62
1738	desperate	62
1739	divide	62
1740	drop	62
1741	equate	62
1742	exclusive	62
1743	feed	62
1744	frank	62
1745	proportion	62
1746	spiritual	62
1747	statistics	62
1748	university	62
1749	active	61
1750	btw	61
1751	camp	61
1752	chap	61
1753	cite	61
1754	degree	61
1755	dogma	61
1756	drink	61
1757	finger	61
1758	gift	61
1759	ideal	61
1760	literally	61
1761	observation	61
1762	overturn	61
1763	perspective	61
1764	racial	61
1765	rightly	61
1766	spell	61
1767	spot	61
1768	straw	61
1769	strike	61
1770	thatcher	61
1771	tie	61
1772	tyranny	61
1773	unto	61
1774	wealth	61
1775	wow	61
1776	atheism	60
1777	average	60
1778	careful	60
1779	diverse	60
1780	exception	60
1781	financial	60
1782	hey	60
1783	inevitable	60
1784	inherit	60
1785	spread	60
1786	supposedly	60
1787	text	60
1788	zero	60
1789	'gay'	59
1790	100%	59
1791	baptist	59
1792	boris	59
1793	cat	59
1794	cheers	59
1795	cry	59
1796	development	59
1797	expense	59
1798	google	59
1799	honestly	59
1800	myth	59
1801	north	59
1802	online	59
1803	prosecute	59
1804	punish	59
1805	sibling	59
1806	stupidity	59
1807	anymore	58
1808	arrive	58
1809	cabinet	58
1810	civilization	58
1811	coe	58
1812	constituency	58
1813	dark	58
1814	deviant	58
1815	directly	58
1816	ed	58
