lemma,f
rubble,19
few,1681
misinterpretation,2
decouple,15
brave,98
ventilation,2
pre-wimbledon,1
myth,93
rapture,7
mind-boggling,5
juggling,2
bellicose,2
tokenistic,1
belgium,1
extol,8
medef,8
alliterative,1
commercialisation,4
gadfly,2
gratitude,20
dsa,3
peg,61
sandal,7
senator,28
lender-of-last-resort,6
low-paying,3
troopship,1
ripe,27
specialise,33
enable,170
triple-lock,4
prerequisite,13
rewatch,1
wheat,19
hometown,6
sparky,2
v,15
bursting,3
amends,4
restricted,38
get-together,2
knock-off,2
non-economic,1
gob,2
abbey,11
insular,5
interlink,1
feelbad,1
pyramid,20
rocker,7
20-foot,1
hooker,2
euro-area,9
gras,10
exasperating,2
fiscally-challenged,1
goose,21
ultra-cheap,3
pastime,5
forethought,1
crew,64
counteract,14
reanimate,1
lightning,19
anatomy,6
recalibration,1
leak,199
glue,15
unobserved,1
pretty,32
three-way,6
interact,10
transference,1
arrangement,199
anti-memorandum,1
abomination,4
interventionism,10
suicidal,27
time-limit,1
19-country,2
furious,75
supervisory,11
nutshell,8
ascension,2
unbecome,1
laureate,27
homicide,2
vantage,8
swam,1
free-wheeling,1
loan,946
eurofighter,3
unavoidable,51
senegalese,1
800-plus,1
trumpet,31
dynamo,2
lug,3
estrangement,3
politicking,4
reverie,3
two-goal,1
self-importance,1
tryst,1
cohesion,35
slip-up,1
drum,44
unfurl,4
infection,17
pejorative,1
seven-fold,1
legislation,186
robot,23
chaste,6
brevity,5
malarkey,1
untenable,36
cardiac,3
architectural,37
bose,1
sensationalise,1
stapler,1
authorial,2
smelter,7
gamine,2
befuddlement,1
slow-growth,2
diocesan,1
borrower,102
unconstrained,5
wobbliest,1
loincloth,1
charity-shop,1
french-style,1
over-reliance,1
off-the-cuff,1
wispy,2
boar,2
smile,147
stuffy,5
prelapsarian,1
verbosity,1
utmost,24
multibillion-euro,3
limerick,1
schtum,2
embedded,17
suet,1
rendez-vous,1
oratorical,3
no-fly,6
humble,52
disagreeable,4
infested,1
unwinnable,4
contrast,431
electioneer,3
roasted,12
tablespoon,3
flattening,1
accountant,109
harrowing,7
inroad,19
outcast,3
travail,43
breathtaking,19
imperil,18
meddler,4
dc,1
cladd,2
voluntary,86
compile,67
enhancer,1
hard-bitten,1
fdus,2
amazement,10
trainee,14
unadjusted,1
undisclosed,5
revel,26
beguiling,15
cryptocurrency,2
diving,15
cinema,71
dupe,3
deform,8
addiction,32
engrave,2
smashing,2
twit,6
integration,158
aggravate,24
miniskirt,6
ten,131
domesticity,1
knee-length,4
incompleteness,1
drought,18
year-on-year,63
clatter,5
savage,73
schoolwork,1
fives,1
spokesman,631
recessionary,22
discipline,229
reimburse,12
eater,1
fascinate,24
fiduciary,2
larky,1
howler,1
fudgy,2
astonishing,91
adjusted,2
new,6020
protester,205
atelier,3
freephone,1
hob,1
obtuseness,1
supplant,11
multi-strand,1
rottweiler,1
server,6
newt,2
near-panic,1
unobjectionable,1
69-year-old,2
mistreat,2
department,610
parrot,7
imprecision,1
spot-fixing,1
cometh,1
television,459
goth,4
outclass,1
fer,1
starting,4
deserter,2
sacking,2
scintilla,1
dead-end,1
slither,6
centrist,69
acrobat,2
recantation,1
repute,6
oppostion,1
scrip,2
gloat,9
emperor,11
attire,16
mercury,2
pageantry,16
wreckage,15
piggy-back,1
softie,3
justification,57
libyan,21
disorganised,4
conceptual,18
top-10,3
shoot-to-kill,3
austerity-led,1
go-faster,1
propose,528
totemic,13
comment,1823
amphibious,7
lane,56
old-school,24
unlabelled,1
turbulence,62
rtl,2
al,2
statistic,22
tale,144
daffodil,3
collapsed,2
plundering,1
adaption,1
beady-eyed,3
searching,2
confuse,68
demilitarisation,3
ayatollah,2
steelmaker,1
tb,7
sprinkling,7
dax,18
radiance,1
broad,280
alarming,79
nourish,1
vicarious,2
oddbin,1
scale,648
underwritten,11
manners,23
namby-pamby,1
vin,5
f-type,1
pummelling,2
cant,5
unsuitability,1
fissiparous,1
cocaine,10
genocide,6
muddle,67
unmissable,5
ponytail,3
controversialist,1
fill,361
panjandrum,2
sustained,115
luncheon,7
technical,150
fudge,24
threat,791
eurobond,110
insipid,7
glide,11
fiancé,5
joiner,2
maid,14
notebook,18
masterful,3
double-figure,1
businesslike,9
frolic,4
volition,2
appliance,7
capability,69
denationalisation,1
cookie,1
keep,2164
desirability,14
slacks,2
dwarve,1
energiewende,1
douse,18
characterise,86
bird,53
takeaway,22
worst-affected,2
zip,8
sabotage,11
counsellor,7
opposition,720
synthetic,15
cart,9
anti-roma,1
landau,3
true-blue,4
womankind,1
exact,74
bridal,10
weighted,12
morale,58
farepayer,1
job,2717
unresolved,23
vaunt,2
easyjet,2
counter-intuitive,7
tsp,25
interrupted,4
answerable,5
much-criticised,1
chicken-feed,1
misrepresentation,4
crushed,14
trinity,7
one-upmanship,1
impale,1
stream,81
fixed,71
accost,5
pillared,2
canvasser,2
trigger,412
earworm,1
reactive,4
reservist,12
palliative,6
makeup,4
compost,5
brisk,16
archery,3
refusenik,3
bark,36
prostitution,5
footman,1
peer,217
aridity,1
exist,456
granularity,1
playlist,4
wide-ranging,25
opposing,4
syringe,2
frizzy,1
macroeconomic,77
rehire,8
gill,1
tiled,2
accordion,1
photocall,3
brighter,1
digitalisation,3
heckler,2
meat-grinder,1
salami-sliced,2
admonitory,1
tax-free,96
deserving,17
flask,2
outward-looking,4
retry,1
jun,26
upstairs,12
pre-games,1
subsidize,1
english,173
scepticism,50
write-downs,6
partridge,3
real-time,6
wondrous,5
birth-control,1
domineering,2
curtain-raiser,1
hysteric,1
blossom,18
bedevil,21
unwell,8
dressing-up,3
reaganite,1
second-biggest,10
deplore,12
cling,80
discrimination,18
expanse,6
resound,4
potentate,3
c,155
prominence,25
smitten,4
sermon,11
divorce,94
ghostwriter,1
unfeasibly,2
14-page,1
junior,128
manicure,9
enunciate,2
wholesome,8
over-optimism,4
two-child,2
vegetarianism,1
carry,678
vampire,5
saliva,1
scalable,2
bowels,3
re-nationalisation,1
registry,5
self-sustaining,14
virulence,3
bribe,39
aspirational,22
stablemate,2
jam,100
binge-drinking,2
fruit,144
subversion,2
180-degree,3
guerilla,1
freefall,14
pre-set,1
rate-rigging,1
keel,19
branch,134
shopkeeper,21
awfulness,3
touchy-feely,1
ergo,3
ladbroke,1
purdah,6
bittere,1
satsuma,3
regressive,11
sub-trend,1
bloc,331
wilting,4
posh-boy,1
creed,15
longshoreman,1
open-door,9
colour-blind,2
prolific,7
postwar,50
passionate,51
turntable,2
caucasian,2
revalue,3
convocation,1
empty-handed,3
obese,11
mesmeric,2
vouch,6
lifting,23
gladstone,1
rambling,8
degeneration,2
credit-default,2
on-the-spot,2
bladder,4
sitar,9
shooter,3
debilitate,12
grin,24
bunfight,2
50-mark,1
voodoo,1
clerk,17
repeal,29
imperfection,4
bakery,5
medicinal,2
28-nation,1
plead,58
buy-to-let,30
enchanted,7
vaccination,3
outflow,27
envisage,82
leaky,6
instrumentalist,1
wine-tasting,2
tnk-bp,3
interfere,30
neo-colonial,1
deny,404
deep-seated,13
skint,1
90-minute,4
peppercorn,6
infancy,4
unregulated,5
smash,68
emulsion,5
extra-terrestrial,1
half-day,2
mileage,12
pinch,60
losing,2
circumspection,1
prod,9
joblessness,39
assertive,13
anti-strike,4
demote,8
socialist-led,3
creation,322
watering-down,1
embezzle,1
infantilism,1
prime-time,5
embossed,1
shortlist,17
hard-right,4
unbeaten,9
aural,3
curving,1
54-year-old,2
sketch,72
cheat,45
doctrine,63
contravene,3
embattle,3
fleet,94
psychology,31
neutralise,13
botox,2
exhumation,1
showdown,60
hairy,4
nepalese,1
decent,206
amusement,14
hype,14
call,2882
invention,32
steppe,3
biddable,2
despicable,12
obstruction,5
dortmund,9
knowledge,97
nanosecond,1
punchline,5
lumbar,1
seabed,2
outlay,28
lens,5
implode,33
furnace,10
hbo,1
congenital,2
recycle,74
further,9
offing,6
suspense,4
ho,4
tutor,21
rhyme,4
codename,2
homosexuality,9
20-hour,1
headline,229
evocative,19
a-list,11
north,293
equine,7
all-rounder,3
leash,8
back-slapping,1
foolishness,2
ion,3
vima,2
overdrive,1
riskless,2
well-paying,1
successive,125
freezer,9
cannibalism,1
blackbird,1
sinner,42
swansong,5
materialistic,1
one-day,31
slog,15
feud,20
brainstorm,4
triumph,169
centralise,8
carousing,1
heterodox,1
context,121
opus,3
gotcha,1
collapse,936
collaborate,16
frightened,22
brat,3
ethnography,1
v-shape,1
wage-slave,1
much-hyped,1
furniture,103
artillery,6
tout,27
unquestion,1
testb,1
attraction,70
layman,6
smoulder,6
incomer,7
singer-songwriter,6
virtual,28
cheep,1
orthopaedic,2
self-rewarding,1
majesty,18
micro,13
liberalism,15
ballad,11
slay,10
innuendo,4
opap,1
sniff,16
29-year-old,3
tinny,1
self-interested,5
satnav,8
torrent,11
sidekick,8
sight,194
workings,14
twinkling,1
plate,81
movement,380
bother,84
silence,79
realignment,8
photojournalist,1
27-year-old,6
garb,7
fate,184
sportsman,16
psoriasis,1
inconsolable,2
nation,1570
whipping,21
presume,24
waterfall,16
hazard,57
tuck,42
remote-controlled,1
per-pupil,1
rusting,4
fast-tracked,2
approximation,1
ground-breaking,8
salvation,53
flutter,12
schengen,3
minimize,1
dire,137
high-spending,4
thrifty,19
11-strong,1
dogma,18
tree-lined,2
all-important,17
squabble,8
poster-boy,1
wed,30
draped,2
tedious,10
unpresidential,2
37-year,2
rejectionist,1
well-rounded,1
lop,15
frost,6
unripe,1
33-year,1
odds,125
abrupt,23
thoughtful,32
hothead,2
coating,3
uninvited,1
profusion,4
angel,27
supergroup,3
steadiness,4
anonymous,26
whinger,2
fug,1
maritime,23
self-indulgent,4
co-invest,1
one-nation,11
ridiculed,2
waistline,4
rabble-rousing,2
no-brainer,7
state-run,11
ossify,1
imply,224
sap,22
teammate,5
revised,3
celebrity-obsessed,1
invigilate,1
excrement,2
cash-flow,4
beefburger,4
significant,717
debt-fuelled,27
omission,21
conform,20
jaw-dropping,7
broadcasting,14
crispy,5
40-something,2
disputed,2
effectiveness,34
readership,6
bucketful,2
unreal,3
pvc,2
freighter,1
waif-like,1
downward,178
moped,2
strain,128
obligatory,5
tuxedo,4
lagging,2
subscription,30
sizeable,38
vu,5
airport-style,1
muttered,1
unreformable,4
hail,113
satire,24
credit,1721
library,137
stratospheric,5
capitulate,41
certifiable,1
warm-hearted,3
era-defining,1
peculiarity,6
censure,8
credulous,3
sharp-eyed,1
bury,97
boomerang,6
low-life,2
pain,451
backdate,4
hotfoot,3
vaccine,19
e-type,6
electrical,64
ex-mpc,3
long-buried,1
bullfight,8
bankable,4
interrogation,10
category,88
arithmetic,17
eyecatching,3
inure,6
unharmed,1
rebound,112
structured,12
owner-occupier,3
second-rank,2
non-western,2
dhow,1
qualm,3
fluctuate,13
indifferent,16
bookish,1
non-smoking,1
juridical,1
rewrite,40
hemline,8
overlap,15
vacancy,43
non-native,1
newsy,1
savvier,1
cohabitation,3
stiletto,5
absolutist,3
puppetry,1
crossbar,3
baked,23
hand-to-hand,2
immersive,1
realism,35
factored,12
rent-a-quote,1
flower,99
farmhouse,19
contrasting,5
familiar,150
ultra,17
planet,104
signing,15
contradict,48
weighting,13
liberator,4
soothed,2
jumpstart,1
pyjama,2
slenderness,1
firecracker,2
unsubstantiated,5
renewableuk,1
affect,437
glaring,9
shootout,3
mentorship,1
fatalist,1
outcrop,2
century,469
manipulate,23
idyllic,13
catalonian,4
coming-of-age,2
making,51
disjuncture,1
reckon,173
spreadsheet,7
demagoguery,4
anti-development,1
membership,426
subsistence,8
untoward,3
profanity,2
dancefloor,1
weaponry,6
rarefy,6
spokeswoman,5
tyre,43
gay,80
insurrection,12
taverna,8
plc,10
stronger-than-expected,4
automaton,1
easeful,1
idle,21
stow,4
lbc,2
danish,34
immense,43
hour-and-a-half,1
collate,5
sadist,2
contractionary,52
feel-good,10
ice-skating,1
offer,1831
big-state,3
1780,1
tennis,77
degenerate,13
aficionado,6
suspenders,2
directorate,4
frosting,1
de-leverage,1
lead-up,3
obsess,60
wilt,16
dismiss,218
rebuttal,6
plebgate,2
lavishness,2
labour-style,1
marriage,300
boom-time,7
woke,1
nee,1
al-shabaab,1
moist,3
piercing,2
workspace,1
psychopathic,1
mutual,67
mind-reader,1
impressed,34
gratin,1
subtlety,11
headline-grabbing,10
stampede,12
herculean,9
trickle-down,10
decoupling,4
padding,2
10-storey,1
masochist,3
slum,7
fracking,26
upset,98
bleeding,8
onebedroom,5
cantankerous,2
semaphore,1
then-premier,1
hula,1
scoff,14
cigarette,59
pixel,2
office-based,2
fries,2
software,71
prejudicial,1
disestablishment,1
backwoodsman,1
reject,502
dfid,24
bruge,1
unforseen,4
grammar,19
over-reaction,2
attention-seeking,2
realize,2
cocksure,1
greenish,1
digitisation,8
defeatist,6
semester,1
pwc,67
awake,7
smaller-scale,1
anguished,9
misogyny,5
stocky,2
compute,5
ultra-low,28
disgruntled,12
rightful,4
full-year,151
offender,67
verity,2
eleventh-hour,8
calibre,9
anvil,5
scouser,1
sinful,4
bbc,1
embroidered,8
muscovite,3
imperialism,4
painstaking,5
somersault,3
mid-range,11
clamp,22
samphire,1
jin,1
pilot,60
humbug,12
bestsell,10
needier,1
10-page,2
visibility,14
amplify,12
remunerate,3
junction,7
forecast-beating,1
retool,1
inquiry,77
eef,29
destroyer,13
sexist,9
ex-gp,1
potshot,1
romney,1
productive,91
knighthood,15
database,18
make-believe,8
insolvent,53
2007-present,1
man-eater,1
cyprus-style,1
grow-your-own,3
banner,41
spec,8
denigration,2
ill-considered,1
airing,3
overheat,10
humour,52
precursor,12
undergo,84
airman,9
positioning,9
pointlessness,2
fraudster,9
marvelling,1
glittery,2
brazilian,43
misbehaviour,1
crumpled,2
canvass,12
punk,28
wind-up,3
bible,9
oddity,3
binary,6
co-responsible,1
alone,11
wholegrain,3
divest,3
turret,3
hardball,6
tax-based,2
problematical,1
sprightly,4
torpid,2
deplorable,7
proclaim,51
succulent,4
debutante,2
pass-the-parcel,1
sloppy,7
aggravation,1
eye-watering,27
summarize,1
withdraw,221
whore,3
lordship,2
grandkid,1
two-speed,19
puddle,7
émigrés,3
slope,46
amputee,1
let-up,6
frontage,6
macro-economics,2
swaddle,1
bacterium,3
revolting,6
globalised,19
dietitian,2
undead,2
unattributed,2
justified,61
tweedy,3
antiseptic,4
perspective,117
deterrent,92
svr,6
edinburgh-based,2
defensible,11
dormant,10
hush,5
typographer,1
odd-looking,1
push,1340
chilly,12
tragicomedy,2
savoury,3
statute,19
bonding,7
cellar,23
aesthetic,34
escalating,4
mou,2
piggery,1
nothing,1037
idealised,2
constancy,2
prissy,1
caption,12
superstardom,2
pepper-spray,1
non-emergency,2
outdo,11
garland,4
mulled,4
unquestioned,2
oct,23
soup,70
balkan,4
adversity,31
laboratory,18
talisman,2
skit,2
gypsy,1
purity,27
gymnast,3
becalmed,2
biceps,1
adhere,12
underrated,7
collectivise,2
volleyball,6
foreigner,93
custom,49
substandard,6
absentia,1
first-night,2
fairness,95
afar,3
argentinian,2
worldwide,76
roundabout,11
one-piece,2
elegy,2
scion,4
low-lying,2
brethren,8
hospitalise,2
repository,5
misogynist,7
hay,16
incubator,3
mycologist,1
rowdiness,1
wallow,15
voluptuous,2
oyster,13
aerosol,1
sign-language,1
hardheaded,1
dear,8
disquieting,4
invisibility,1
avant,2
creamy,18
colonist,2
price-sensitive,1
mid-40,1
well-schooled,1
unaddressed,16
cheese-paring,1
canny,20
living-room,6
sr,1
twice-weekly,2
ebay,4
autonomous,22
underlying,70
vaccinate,7
world-beater,3
hashtagg,1
groundbreaking,4
discretion,23
holistic,5
byelection,5
strung,1
prettiness,1
soviet-style,7
unfancied,1
cult,27
transitory,6
expected,12
pawn,5
common-or-garden,1
rectangle,1
hear,586
luggage,17
alphabet,7
lavender,3
mule,2
sharing,42
chav,3
unsatisfactory,4
colony,26
phoney,14
pick-me-up,2
whinge,1
wildlife,21
mist,11
hands-on,5
prosciutto,2
trot,14
frankenstein,2
federalising,1
aggregation,1
100-strong,1
boomer,22
congress,10
transmute,1
veritable,7
self-image,2
co-finance,1
unwrap,5
inhibition,6
esm,74
much-loathed,1
55-minute,2
logical,44
last-resort,1
bedrock,15
silkscreen,1
preschool,1
16-month,5
25-year,7
retaliatory,5
well-stocked,1
mumsy,1
process,634
clime,9
lodger,28
gracious,10
magical,31
choreography,17
lobbyist,13
queasy,7
punctuation,2
stint,29
misallocation,6
slather,2
schoolchild,2
five-page,4
haggis,2
disregard,27
reconstructive,2
mini-revival,3
fire,436
patient-centred,1
dart,4
92-year-old,5
scourge,15
concoction,3
high-cost,5
commodious,2
vis-à-vi,1
english-speaking,9
reincarnation,5
anonymity,7
repo,5
railwayman,2
tranch,12
next,4264
exceptional,68
overstatement,3
nomadic,3
18-year,4
overblown,26
chiropodist,5
incoherence,6
ever-closer,12
digress,2
flagrant,10
british-trained,1
fedora,1
allium,1
newcomer,13
neolithic,5
first-timer,5
evening,249
luxuriate,3
rubber-chicken,1
ochre,2
photo,72
pater,2
skew,6
unreserved,2
engaging,16
unsuited,3
pitch-perfect,2
alarmism,3
one-bedroom,8
removal,61
disposition,14
duffy,6
snowbound,2
surname,13
engine-room,1
conspicuous,15
back-to-school,3
cash-rich,8
high-fiving,1
motorcade,2
deduction,9
spinster,2
donkey,11
megabuck,1
577-seat,1
subsidiary,35
depth,64
inflexible,20
hanger,2
russian-greek,2
coincidental,1
normal,301
tickle,10
dignitary,17
tenth,26
deity,5
cordite,1
intact,54
bully,44
gnu,4
often-repeated,2
acquiesce,13
discontented,4
nonchalance,6
petro-state,3
multilingual,1
property,1046
spurious,12
read,563
visionary,25
energise,9
agonised,2
boundary,72
sneeze,6
dongle,1
treacle,3
mining,114
followup,2
portal,4
depression-hit,2
curious,52
femme,1
decile,2
swinging,8
opportunism,17
infiltrate,5
commander-in-chief,3
unconvincing,22
moron,4
sewer,6
secular,35
clan,8
container,15
eye-opener,1
angst-ridden,1
shopper,115
flinch,14
budging,2
ill-fitting,1
demeaning,1
architecture,96
unwashed,3
middling,3
self-professed,1
breaker,6
cord,8
remission,5
unburdened,1
mentality,26
microwave,8
hidebound,2
proceeds,63
blouse,14
11-page,3
fatten,3
debt-deleveraging,1
stationary,3
dynamics,109
hoard,37
jeer,28
shale,92
triple-dipped,1
warmongering,1
part,2471
troops,88
unviable,6
rackety,3
testimony,15
antiquity,7
onboard,2
hankie,1
retail,346
moulding,1
overstay,1
appropriate,171
arbitration,5
termination,6
apologist,7
anglian,4
collection,324
courtesy,38
superhighway,2
acrylic,2
analgesic,1
pugnacious,4
object,146
refocus,13
unbounded,1
animatronic,5
soul-destroying,1
wroclaw,2
saddle,47
floured,2
low-end,1
letter,625
statutory,22
intersperse,6
emaciated,3
grotty,4
spot-on,3
cosh,10
holiness,1
mass-production,1
backbencher,80
unsung,9
spray,26
hovel,1
worthless,26
bamboo,5
hardwork,6
anti-regime,1
quarter-final,13
bap,1
schmaltzy,1
car-boot,1
entitled,1
cosmologist,1
college,57
ladle,3
grammatical,1
kong-based,2
snapshot,24
paddock,9
thought-provoking,5
syriza,35
downgrade,600
poise,116
coefficient,4
tinderbox,2
social-care,1
stirrup,1
precipitate,40
orb,3
soy,2
valley,42
house-buying,1
butterfly,10
60-year-old,4
antioxidant,2
trash,13
vexatious,2
oldie,4
sleep,115
rattan,1
ovation,18
sensationalist,4
therapeutics,1
romp,9
underpants,2
calming,14
cac,27
holocaust,2
anti-growth,6
waddle,1
counterblast,1
t-shirt,35
musicality,2
outré,3
haemorrhaging,1
near-halving,1
alleyway,4
dozy,1
lawlessness,2
on-balance,1
catastrophic,112
all-embracing,2
decency,15
favela,4
pty,1
crystalise,9
venomous,1
risk-taker,2
dinghy,5
emphysema,2
firepower,69
freus,2
underemployment,1
empty,155
cricketer,8
german-centric,2
novelist,43
outbid,4
leviathan,8
spectacles,13
sugar-coated,2
dispersed,1
clotted,2
migraine-inducing,1
accent,35
flat-pack,1
daub,7
khaki,2
reticent,6
humane,12
pendolino,1
privilege,81
distort,44
parsimonious,9
yachtsman,1
forbid,57
inconclusive,16
sweary,2
gobby,1
interventionist,15
que,1
motorcycle,13
bacchus,1
duffle,2
msc,2
click,17
excitable,3
teacup,4
cleaning,23
uniqueness,3
three-storey,4
catchy,7
impassive,1
frontload,3
verbatim,2
regenerative,4
permeate,7
beastly,1
half-cocked,1
strapped,1
pensant,3
flaunt,6
ipsa,3
near-stagnation,2
pocket-sized,1
presage,8
artless,3
environmentalist,11
widower,1
lunchtime,31
mourning,5
master,157
burglary,21
knotty,1
mushy,1
unknown,90
headcount,14
heater,8
shotgun,5
withholding,4
promotion,67
four-star,6
journal,13
blackness,1
mahout,1
euro-atlantic,2
grid,27
idiot,24
swiss-based,3
adolescence,3
retrospective,16
doomsday,7
turn-up,3
blistering,12
climate,267
grandeur,20
ringfencing,10
much-delayed,3
roc,2
berlusconus,1
blair-style,1
traduce,2
stature,16
ftse-100,12
50-seat,1
neutrality,12
surf,9
salary,542
striker,29
dioxide,7
peep,5
liquefy,4
aristocrat,20
gritty,16
empathise,2
exonerate,2
austrian,41
ouzo,4
appetise,2
newcastle,1
covenant,11
perpetuity,15
polity,5
regionalism,1
readymade,1
nurturing,2
call-and-response,1
skeletal,7
ngdp,2
unseasonal,1
modern-day,9
16-year,5
all-conservative,4
anatomise,3
following,73
alleged,59
ducal,1
lower-ranking,1
fertilise,1
publishing,24
polemic,3
mindless,3
secretarial,9
tumour,6
scaffolding,9
drudgery,2
anti-market,3
unhappy,77
repudiate,26
delegated,3
ultra-loose,11
kfw,1
debt-free,1
raf,54
high-growth,4
severance,12
henceforth,6
restaurateur,14
spoof,6
42-year,2
devolved,8
restore,434
pan-fried,3
non-eurozone,7
unmodernised,3
end,3503
walnut,10
untapped,6
megabit,1
altered,5
aerodrome,4
falsehood,3
prance,5
super-committee,2
rearguard,4
divvy,1
damaging,155
copyright,10
two-notch,3
baccarat,1
sa,1
amounting,6
warping,1
coachload,1
below-stair,1
democrat,53
walkway,6
preclude,16
peony,3
gemstone,3
humanise,1
wind-downs,1
multilateral,11
earl,2
self-made,7
heraldic,3
autobiography,24
potted,6
chore,8
low-earning,2
thicken,2
potty,11
fund-raise,1
invulnerability,1
frightening,31
garage,28
inquisition,2
privately-educated,1
reinvent,40
blinder,5
encroachment,4
soar,294
fantasist,2
incantation,1
half-brother,1
nighttime,1
concerted,25
shuttle,11
adulterous,2
stimulant,1
museum,161
tinsel,2
sludge,1
juggle,8
blogg,1
seam,19
commendable,14
conquering,1
quiet,168
sporty,5
46-year-old,5
back-stop,21
concise,4
mutualisation,33
concierge,4
robe,15
rigour,33
cacophony,13
vigilantism,1
underappreciate,1
prevalence,3
dental,15
iag,8
17-year-old,9
one-way,14
bangladeshi,2
front-foot,1
unprofitable,5
eloquence,8
market-driven,2
mispronounce,1
swift,69
selection,111
five-fold,3
rearmament,3
eek,1
interminable,19
wrongful,2
professorship,1
elder,34
consternation,22
inspirational,11
crowdsourced,1
chance,849
clink,2
german-french,1
snowy,10
chancel,1
chamber,115
gilded,26
protectorate,7
hitman,3
smorgasbord,1
overcrowded,14
ache,11
recognize,4
bubble,294
deflationary,153
stale,21
augment,11
cold-blooded,2
post-christmas,4
ein,2
puff,24
inspect,28
dealogic,1
watercress,4
teaser,2
guesswork,5
housewife,29
third-richest,2
enhanced,1
partisanship,3
fester,13
examination,33
sanguine,34
jeans,22
unacceptable,107
stifle,59
laundering,7
credit-crunch,2
kenyan-born,1
debt-reducing,1
assessment,189
pre-written,2
clergyman,4
countervail,4
out-of-work,11
on-board,7
genome,1
legerdemain,4
proactivity,1
parliamentary,293
agitate,11
selflessness,3
franco-belgian,5
pron,1
handsome,36
thaw,10
means-testing,9
frying,7
focused,6
composting,3
ebook,12
asturian,2
glow,39
toff-bashing,1
star,376
